[WARN] [1778234513.371713220] [aruco_distance_test]: Using default camera parameters
[INFO] [1778234513.865043307] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234514.345821748] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234514.872757638] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234515.396924725] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234515.890190607] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234516.349238818] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234516.685726479] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234517.005951963] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234517.534507686] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234518.057908763] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234518.602558645] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234519.132616714] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234519.689398071] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234520.225744621] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234520.526242870] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234520.981919588] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234521.522550296] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234522.083804051] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234522.387445670] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234522.976016799] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234523.506666608] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234523.865014518] [aruco_distance_test]: id=4, distance=0.3561, z=0.3458
[INFO] [1778234524.388776857] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234524.909967041] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234525.408455141] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234525.930149070] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234526.323976685] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234526.831600711] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234527.401779685] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
[INFO] [1778234527.753245639] [aruco_distance_test]: id=4, distance=0.3566, z=0.3463
