[INFO] [1778234864.690746844] [aruco_distance_test]: Loaded calibration: /home/ccc/camera_calibration/calibration_data.npz
[INFO] [1778234865.194186837] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234865.495850700] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234866.025816221] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234866.505668685] [aruco_distance_test]: id=4, distance=1.0681, z=1.0572
[INFO] [1778234867.049908885] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234867.641510115] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234868.220804056] [aruco_distance_test]: id=4, distance=1.0670, z=1.0562
[INFO] [1778234868.768695429] [aruco_distance_test]: id=4, distance=1.0750, z=1.0640
[INFO] [1778234869.306284297] [aruco_distance_test]: id=4, distance=1.0750, z=1.0640
[INFO] [1778234869.808036140] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234870.112077340] [aruco_distance_test]: id=4, distance=1.0750, z=1.0640
[INFO] [1778234870.423688158] [aruco_distance_test]: id=4, distance=1.0750, z=1.0640
[INFO] [1778234870.965294451] [aruco_distance_test]: id=4, distance=1.0647, z=1.0538
[INFO] [1778234871.586718864] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234871.946986344] [aruco_distance_test]: id=4, distance=1.0725, z=1.0616
[INFO] [1778234872.267714096] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234872.862334601] [aruco_distance_test]: id=4, distance=1.0750, z=1.0640
[INFO] [1778234873.206187243] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234873.723096951] [aruco_distance_test]: id=4, distance=1.0640, z=1.0531
[INFO] [1778234874.068534628] [aruco_distance_test]: id=4, distance=1.0681, z=1.0572
[INFO] [1778234874.692482724] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234875.247428251] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234875.579571913] [aruco_distance_test]: id=4, distance=1.0700, z=1.0591
[INFO] [1778234875.882957702] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234876.442674036] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234876.989628988] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234877.362564318] [aruco_distance_test]: id=4, distance=1.0525, z=1.0419
[INFO] [1778234877.772330385] [aruco_distance_test]: id=4, distance=1.0659, z=1.0550
[INFO] [1778234878.172666100] [aruco_distance_test]: id=4, distance=1.0604, z=1.0496
[INFO] [1778234878.576731312] [aruco_distance_test]: id=4, distance=1.0611, z=1.0500
[INFO] [1778234878.959549637] [aruco_distance_test]: id=4, distance=1.0612, z=1.0502
